subject_id,text,interaction_type,date,language
S001,Went for a long walk this morning along the river path and felt incredibly refreshed afterwards. The weather was perfect.,caption,2024-03-12,en
S001,Finished reading a fascinating book on ancient history last night. I would highly recommend it to anyone who enjoys learning about the past.,caption,2024-12-12,en
S001,Tried a new yoga class today and absolutely loved the instructor's teaching style. Will definitely be going back next week.,caption,2024-02-14,en
S001,The garden is looking beautiful after all the rain we had last weekend. The roses are blooming and the vegetables are growing well.,comment,2024-01-17,en
S001,Finished reading a fascinating book on ancient history last night. I would highly recommend it to anyone who enjoys learning about the past.,comment,2024-04-21,en
S001,Tried a new yoga class today and absolutely loved the instructor's teaching style. Will definitely be going back next week.,comment,2024-11-04,en
S001,Tried a new yoga class today and absolutely loved the instructor's teaching style. Will definitely be going back next week.,caption,2024-04-11,en
S001,Made a big pot of soup from scratch today using vegetables from the garden. It turned out really well and we have enough for the week.,caption,2024-12-25,en
S001,The garden is looking beautiful after all the rain we had last weekend. The roses are blooming and the vegetables are growing well.,message,2024-04-22,en
S001,Spent the afternoon volunteering at the local community centre helping with the after-school programme. It felt very fulfilling.,comment,2024-05-22,en
S001,Cooking a new recipe tonight — spicy prawn curry with coconut milk. The whole house smells amazing already and everyone is excited.,message,2024-12-23,en
S001,Started learning a new language this week using an app on my phone. It is challenging but very rewarding to make progress each day.,comment,2024-05-22,en
S001,,view,2024-04-20,en
S001,,like,2024-02-22,en
S001,,like,2024-07-13,en
S001,,view,2024-07-02,en
S002,wathura para langa aluth walking ekak giya. godak refresh unaa. weather eka hondhata thibuna.,caption,2024-02-10,romanized_sinhala
S002,yaluwo ekka trip ekak giya godak asa unaa. rathri kama kaala katha karaa. harima santhosa dawasak.,caption,2024-11-17,romanized_sinhala
S002,gedara vibhagaya potha ekka kalaa. dhan therenne godak. anith dawase wenath deyak karannnam.,comment,2024-10-22,romanized_sinhala
S002,"ada rathriyy film ekak baluwa. kathawa hari hondai, actorsla ge acting eka hariyatama liked karaa.",caption,2024-01-24,romanized_sinhala
S002,"sathiyata eka dawasak wiyayama kala, agata hri shakthiyan danenawa, wayayama karana eka agata hodai",comment,2024-05-28,romanized_sinhala
S002,"sathiyata eka dawasak wiyayama kala, agata hri shakthiyan danenawa, wayayama karana eka agata hodai",message,2024-02-21,romanized_sinhala
S002,yaluwo ekka trip ekak giya godak asa unaa. rathri kama kaala katha karaa. harima santhosa dawasak.,caption,2024-08-20,romanized_sinhala
S002,gedara vibhagaya potha ekka kalaa. dhan therenne godak. anith dawase wenath deyak karannnam.,message,2024-03-24,romanized_sinhala
S002,gedara vibhagaya potha ekka kalaa. dhan therenne godak. anith dawase wenath deyak karannnam.,caption,2024-04-17,romanized_sinhala
S002,yaluwo ekka trip ekak giya godak asa unaa. rathri kama kaala katha karaa. harima santhosa dawasak.,caption,2024-12-25,romanized_sinhala
S002,"ada rathriyy film ekak baluwa. kathawa hari hondai, actorsla ge acting eka hariyatama liked karaa.",caption,2024-11-07,romanized_sinhala
S002,"gedara idan pothak kiyewwa. godak dewal igena ganna thibba, ada mama godak dewal danagatta.",caption,2024-09-30,romanized_sinhala
S002,"sathiyata eka dawasak wiyayama kala, agata hri shakthiyan danenawa, wayayama karana eka agata hodai",message,2024-03-24,romanized_sinhala
S002,wathura para langa aluth walking ekak giya. godak refresh unaa. weather eka hondhata thibuna.,caption,2024-05-18,romanized_sinhala
S002,"sathiyata eka dawasak wiyayama kala, agata hri shakthiyan danenawa, wayayama karana eka agata hodai",message,2024-12-16,romanized_sinhala
S002,ada family eka ekka beach giya. hari sathutu dawasak. lamainuth hodata sellam kalaa.,comment,2024-04-27,romanized_sinhala
S002,,view,2024-06-10,romanized_sinhala
S002,,like,2024-05-17,romanized_sinhala
S003,காலையில் உடற்பயிற்சி செய்தேன். உடல் புத்துணர்ச்சியாக உணர்கிறது. தினமும் செய்வதை தொடர்வேன்.,message,2024-03-14,ta
S003,புதிய புத்தகம் படிக்க ஆரம்பித்தேன். மிகவும் சுவாரஸ்யமாக இருக்கிறது. ஒவ்வொரு அத்தியாயமும் புதிய தகவல்களை தருகிறது.,caption,2024-05-06,ta
S003,இன்று வேலை நன்றாக முடிந்தது. மிகவும் திருப்தியாக இருக்கிறேன். நாளை இன்னும் சிறப்பாக செய்வேன்.,message,2024-10-02,ta
S003,இன்று வேலை நன்றாக முடிந்தது. மிகவும் திருப்தியாக இருக்கிறேன். நாளை இன்னும் சிறப்பாக செய்வேன்.,caption,2024-08-07,ta
S003,காலையில் உடற்பயிற்சி செய்தேன். உடல் புத்துணர்ச்சியாக உணர்கிறது. தினமும் செய்வதை தொடர்வேன்.,comment,2024-07-04,ta
S003,புதிய புத்தகம் படிக்க ஆரம்பித்தேன். மிகவும் சுவாரஸ்யமாக இருக்கிறது. ஒவ்வொரு அத்தியாயமும் புதிய தகவல்களை தருகிறது.,message,2024-09-17,ta
S003,இன்று குடும்பத்துடன் நேரம் செலவிட்டோம். மிகவும் மகிழ்ச்சியாக இருந்தது. குழந்தைகள் விளையாடி மகிழ்ந்தனர்.,comment,2024-01-25,ta
S003,புதிய புத்தகம் படிக்க ஆரம்பித்தேன். மிகவும் சுவாரஸ்யமாக இருக்கிறது. ஒவ்வொரு அத்தியாயமும் புதிய தகவல்களை தருகிறது.,comment,2024-11-17,ta
S003,காலையில் உடற்பயிற்சி செய்தேன். உடல் புத்துணர்ச்சியாக உணர்கிறது. தினமும் செய்வதை தொடர்வேன்.,comment,2024-11-01,ta
S003,காலையில் உடற்பயிற்சி செய்தேன். உடல் புத்துணர்ச்சியாக உணர்கிறது. தினமும் செய்வதை தொடர்வேன்.,caption,2024-07-14,ta
S003,காலையில் உடற்பயிற்சி செய்தேன். உடல் புத்துணர்ச்சியாக உணர்கிறது. தினமும் செய்வதை தொடர்வேன்.,message,2024-09-27,ta
S003,இன்று வேலை நன்றாக முடிந்தது. மிகவும் திருப்தியாக இருக்கிறேன். நாளை இன்னும் சிறப்பாக செய்வேன்.,caption,2024-01-06,ta
S003,இன்று குடும்பத்துடன் நேரம் செலவிட்டோம். மிகவும் மகிழ்ச்சியாக இருந்தது. குழந்தைகள் விளையாடி மகிழ்ந்தனர்.,caption,2024-12-15,ta
S003,,react,2024-05-16,ta
S003,,like,2024-06-23,ta
S003,,view,2024-05-30,ta
S003,,view,2024-03-21,ta
S004,இன்று குடும்பத்துடன் நேரம் செலவிட்டோம். மிகவும் மகிழ்ச்சியாக இருந்தது. குழந்தைகள் விளையாடி மகிழ்ந்தனர்.,message,2024-11-16,ta
S004,இன்று வேலை நன்றாக முடிந்தது. மிகவும் திருப்தியாக இருக்கிறேன். நாளை இன்னும் சிறப்பாக செய்வேன்.,comment,2024-11-07,ta
S004,புதிய புத்தகம் படிக்க ஆரம்பித்தேன். மிகவும் சுவாரஸ்யமாக இருக்கிறது. ஒவ்வொரு அத்தியாயமும் புதிய தகவல்களை தருகிறது.,comment,2024-07-10,ta
S004,இன்று வேலை நன்றாக முடிந்தது. மிகவும் திருப்தியாக இருக்கிறேன். நாளை இன்னும் சிறப்பாக செய்வேன்.,comment,2024-09-28,ta
S004,இன்று வேலை நன்றாக முடிந்தது. மிகவும் திருப்தியாக இருக்கிறேன். நாளை இன்னும் சிறப்பாக செய்வேன்.,message,2024-06-14,ta
S004,இன்று குடும்பத்துடன் நேரம் செலவிட்டோம். மிகவும் மகிழ்ச்சியாக இருந்தது. குழந்தைகள் விளையாடி மகிழ்ந்தனர்.,message,2024-02-27,ta
S004,நண்பர்களுடன் சாப்பிட சென்றோம். நல்ல நேரம் கழித்தோம். நிறைய விஷயங்கள் பேசினோம்.,comment,2024-05-02,ta
S004,புதிய புத்தகம் படிக்க ஆரம்பித்தேன். மிகவும் சுவாரஸ்யமாக இருக்கிறது. ஒவ்வொரு அத்தியாயமும் புதிய தகவல்களை தருகிறது.,comment,2024-10-17,ta
S004,இன்று குடும்பத்துடன் நேரம் செலவிட்டோம். மிகவும் மகிழ்ச்சியாக இருந்தது. குழந்தைகள் விளையாடி மகிழ்ந்தனர்.,comment,2024-09-05,ta
S004,இன்று வேலை நன்றாக முடிந்தது. மிகவும் திருப்தியாக இருக்கிறேன். நாளை இன்னும் சிறப்பாக செய்வேன்.,comment,2024-03-05,ta
S004,காலையில் உடற்பயிற்சி செய்தேன். உடல் புத்துணர்ச்சியாக உணர்கிறது. தினமும் செய்வதை தொடர்வேன்.,comment,2024-10-08,ta
S004,நண்பர்களுடன் சாப்பிட சென்றோம். நல்ல நேரம் கழித்தோம். நிறைய விஷயங்கள் பேசினோம்.,caption,2024-09-27,ta
S004,காலையில் உடற்பயிற்சி செய்தேன். உடல் புத்துணர்ச்சியாக உணர்கிறது. தினமும் செய்வதை தொடர்வேன்.,caption,2024-04-18,ta
S004,புதிய புத்தகம் படிக்க ஆரம்பித்தேன். மிகவும் சுவாரஸ்யமாக இருக்கிறது. ஒவ்வொரு அத்தியாயமும் புதிய தகவல்களை தருகிறது.,message,2024-12-31,ta
